delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
440627,179764,25975,22921,48920,47466,29644,24747,2022-03-14 00:19:28.371554
45786,64690,3023,19985,10244,12470,2917,5018,2022-03-14 00:19:29.369778
338136,106990,57535,18048,31495,18860,14552,11547,2022-03-14 00:19:30.414475
98355,36303,7774,2958,7699,6757,5613,6089,2022-03-14 00:19:31.376060
1674820,212628,22276,15976,32139,34203,36527,20652,2022-03-14 00:19:32.369868
68100,11654,5332,1691,4854,3149,2268,1831,2022-03-14 00:19:33.396702
2074136,571469,83972,31711,46847,70876,30137,46848,2022-03-14 00:19:34.364486
2048051,111749,2826,3171,6845,12108,6781,5421,2022-03-14 00:19:35.366844
227279,678129,66938,54334,40328,45098,81001,157466,2022-03-14 00:19:36.367051
152162,131087,12938,9727,9616,5555,7512,7552,2022-03-14 00:19:37.383161
1108565,65388,13000,12813,7132,19044,21983,7688,2022-03-14 00:19:38.377477
113023,33671,19132,4611,5478,8692,3254,5499,2022-03-14 00:19:39.363058
1573921,74797,10096,38760,21288,15533,7962,4108,2022-03-14 00:19:40.392805
2425613,1388715,43447,51418,131989,31300,26693,12687,2022-03-14 00:19:41.375700
1636955,292410,58723,58535,15170,45348,38953,17399,2022-03-14 00:19:42.367722
79971,5918,2684,1597,421,995,527,562,2022-03-14 00:19:43.364171
733010,91179,2775,16569,4115,6281,7615,5276,2022-03-14 00:19:44.377685
1233876,372623,46251,62993,80783,36790,18466,23026,2022-03-14 00:19:45.379531
685572,554531,39179,39851,12462,14262,9699,6482,2022-03-14 00:19:46.366177
1946308,70988,78745,11734,8701,9171,3311,10800,2022-03-14 00:19:47.363845
39596,18776,4512,2240,3263,1575,1512,2230,2022-03-14 00:19:48.419214
1791185,142482,33183,23068,31087,22364,21385,9769,2022-03-14 00:19:49.365096
603883,13602,1070,10087,10838,2436,738,722,2022-03-14 00:19:50.373078
134143,15832,7206,2298,4456,5930,1765,1538,2022-03-14 00:19:51.369798
2318368,901092,105441,681008,585363,525343,301490,31830,2022-03-14 00:19:52.367566
